pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
0.8180202,-0.3573055,0.12639353,-0.8457286,-2.5415049,-1.0866333,-1.0417455,3.1457164,-0.5323267,-1.9434236,2.9781816,-0.6610266,-0.564394,0.74143887,0.6518994,-0.6059016,1.9336765,0.6109937,-0.61805975,0.92449963,-0.4502885
1.1262026,-0.48331398,0.19816022,-1.287783,-3.6625576,-1.500732,-1.4806834,4.102886,-0.83113235,-2.6105454,3.6960113,-0.9480716,-0.7194118,0.9527581,0.75762695,-0.7980286,2.9895163,0.67969716,-0.8353709,1.1782327,-0.44637358
1.3547469,-0.5256489,0.24947809,-1.7107706,-4.6573725,-1.7649388,-1.8155649,4.426093,-1.1242535,-2.909534,3.6671915,-1.1752467,-0.7665931,1.0972173,0.65486276,-0.8867352,4.0021605,0.5336668,-0.92935646,1.280563,-0.24333817
1.4761231,-0.42977282,0.22454917,-2.0112898,-5.4484105,-1.8020157,-1.9610279,3.9472861,-1.3282713,-2.7002685,2.7687557,-1.2763449,-0.7071647,1.2679106,0.34394833,-0.8562158,4.7169,0.1896796,-0.84326875,1.2673365,0.117748454
1.4789745,-0.18975884,0.077296875,-2.1007926,-6.067342,-1.6114988,-1.8836861,2.7672417,-1.3693119,-2.0661702,1.1418391,-1.2022992,-0.5879949,1.593982,-0.07338361,-0.73936915,4.981388,-0.23343529,-0.60045207,1.2422627,0.49738827
1.3483318,0.1296778,-0.15561481,-1.9396832,-6.52882,-1.2477714,-1.6043451,1.1206301,-1.2139935,-1.2575163,-0.954568,-0.93384296,-0.45608768,2.1338603,-0.45248166,-0.58262086,4.80904,-0.58286166,-0.2950313,1.2972828,0.7440884
1.1009829,0.40771213,-0.30973834,-1.5684016,-6.7474976,-0.7919576,-1.2033652,-0.72995555,-0.8858908,-0.5478003,-3.2008307,-0.5087834,-0.3341574,2.842444,-0.6735616,-0.4203891,4.3318367,-0.7425874,-0.03860191,1.4887171,0.782236
0.8097306,0.5370276,-0.1907643,-1.0949875,-6.595056,-0.3221031,-0.79744005,-2.550588,-0.44985938,-0.108586304,-5.2682867,-0.017199075,-0.22373223,3.6143348,-0.68994486,-0.26824114,3.7025957,-0.6781196,0.09903789,1.864724,0.6320232
0.5546428,0.51015687,0.21660404,-0.6309685,-6.04005,0.116941035,-0.47447306,-4.1827464,0.026337147,0.028505325,-6.9511137,0.45347753,-0.11589872,4.3336196,-0.5452655,-0.12501526,3.03152,-0.44863075,0.11616663,2.471409,0.3592088
0.36200196,0.42744055,0.67493135,-0.23983584,-5.2058,0.51989925,-0.25060394,-5.5667214,0.4972487,-0.06320523,-8.232686,0.8612617,-0.002157376,4.9123445,-0.34795,0.017637214,2.374832,-0.1767838,0.066171184,3.3319418,0.026085379
0.21056746,0.39690456,0.88963586,0.05233767,-4.2710667,0.88959694,-0.09937213,-6.7000675,0.9290486,-0.26137018,-9.159744,1.1914499,0.113757685,5.3185663,-0.20959856,0.15857247,1.7469596,0.016826157,0.024590736,4.4180794,-0.30123836
0.07886559,0.43830353,0.74829984,0.22299694,-3.3404937,1.2048756,-0.004254367,-7.58789,1.2819643,-0.43981668,-9.727112,1.4343742,0.21095875,5.585913,-0.19221462,0.2769634,1.137993,0.06862971,0.06346505,5.633562,-0.51928186
-0.033580106,0.49593246,0.34692165,0.25357193,-2.4279134,1.4264692,0.03326141,-8.236639,1.5182124,-0.5012884,-9.945854,1.6073462,0.26180667,5.7747746,-0.29809263,0.34169263,0.5449122,-0.01972007,0.23451193,6.799134,-0.50152653
-0.11417858,0.51522434,-0.14210096,0.15017174,-1.5221795,1.5309038,0.017203076,-8.669352,1.6292938,-0.4095628,-9.939377,1.7678409,0.24876949,5.8922915,-0.48642796,0.3313518,0.033512786,-0.2044867,0.53675485,7.6486998,-0.18975131
-0.14574544,0.48433766,-0.5705621,-0.05295692,-0.62925464,1.5360571,-0.032202438,-8.913078,1.6513836,-0.20831884,-9.865372,1.9617542,0.17435853,5.8369226,-0.6908595,0.24812691,-0.22792894,-0.42321384,0.87738127,7.883194,0.30569512
-0.108588874,0.42095488,-0.8385922,-0.31038332,0.22903089,1.4941543,-0.088850036,-8.966779,1.6501474,0.000834022,-9.765622,2.1523507,0.05622248,5.4562464,-0.8403045,0.11521302,-0.046904054,-0.61386293,1.0817677,7.3503475,0.71708184
0.008416862,0.34557262,-0.9024527,-0.5749228,1.0231502,1.4546447,-0.12855214,-8.78979,1.6779636,0.12906078,-9.542159,2.2123864,-0.08534708,4.6893067,-0.888272,-0.03549002,0.62408835,-0.7356735,0.98543835,6.2591715,0.7784683
0.18917985,0.26853853,-0.7861695,-0.79035705,1.7100227,1.4123917,-0.12510955,-8.318425,1.7190281,0.17031038,-9.053634,1.9791664,-0.23388848,3.6109517,-0.8267504,-0.17047814,1.6506184,-0.7821786,0.541148,5.186023,0.39918315
0.37876293,0.1910517,-0.5729328,-0.8832473,2.2347422,1.2838827,-0.045615867,-7.495982,1.6666385,0.20844609,-8.202094,1.3384342,-0.3696149,2.316089,-0.6687873,-0.2521344,2.873297,-0.7710233,-0.14412743,4.745266,-0.293461
0.49149537,0.11113568,-0.37282032,-0.7795526,2.5520737,0.95167077,0.14022017,-6.2992644,1.375704,0.35125563,-6.959812,0.32063422,-0.45563963,0.8490026,-0.4253635,-0.23866652,4.2196054,-0.7160621,-0.85286355,5.1861987,-1.036807
0.44214597,0.025804527,-0.28073895,-0.4500064,2.6608253,0.36556304,0.434869,-4.756442,0.77804005,0.6372991,-5.3671703,-0.8252744,-0.4369582,-0.6890914,-0.10711649,-0.09908452,5.5896344,-0.606312,-1.341525,6.255526,-1.5557011
0.18809788,-0.07518386,-0.34011462,0.050880384,2.6073177,-0.3894176,0.7927744,-2.9537373,-0.037539892,0.99068487,-3.5477252,-1.6643282,-0.2622607,-2.0605464,0.25910032,0.16790812,6.7512245,-0.4138116,-1.4245083,7.40772,-1.6682014
-0.23645267,-0.21263233,-0.526279,0.59110355,2.446246,-1.1249216,1.1272516,-1.0268397,-0.85637593,1.2640885,-1.7201805,-1.7852045,0.079277866,-3.0352924,0.6247875,0.52630085,7.463791,-0.12761986,-1.0420223,8.1528635,-1.3503404
-0.71820796,-0.39665195,-0.7612578,1.0181613,2.199345,-1.6412252,1.3476205,0.86295307,-1.4418705,1.333961,-0.15870006,-1.1199743,0.5405746,-3.5916672,0.9332263,0.9136244,7.6584954,0.22337982,-0.3044498,8.261519,-0.73130375
-1.1104378,-0.5895511,-0.9557506,1.2325277,1.8655281,-1.809959,1.4047755,2.5611196,-1.6372184,1.1754584,0.92306966,-0.11804815,1.0368408,-3.91833,1.1388658,1.2626597,7.42054,0.5823096,0.51750535,7.717797,-0.015085233
-1.317957,-0.70224226,-1.047416,1.228675,1.4825462,-1.6246641,1.312908,3.936644,-1.431586,0.86523825,1.4800106,0.51371115,1.4859756,-4.242761,1.2173233,1.5240828,6.844302,0.89146835,1.0974951,6.5906463,0.61937875
-1.3604621,-0.65199023,-1.0104394,1.0769905,1.1746974,-1.2104372,1.1308601,4.887004,-0.9725491,0.5182764,1.6498454,0.39778364,1.8315775,-4.68118,1.1635224,1.6751838,5.965495,1.1054045,1.2249736,4.991916,1.0739602
-1.3341922,-0.43071634,-0.8475004,0.8681384,1.1162163,-0.7555026,0.9212377,5.352329,-0.484747,0.21782349,1.6586623,-0.20693026,2.03287,-5.2177677,0.98561203,1.7057887,4.7828245,1.1886598,0.9186188,3.0765789,1.3228145
-1.29124,-0.11702209,-0.5875718,0.6649522,1.4112577,-0.38700083,0.7205512,5.3514876,-0.12429162,-0.006728424,1.6963894,-0.7416275,2.0454636,-5.7741776,0.70533556,1.5984105,3.2920437,1.1173544,0.38998204,0.9951694,1.3693072
-1.1906385,0.17735174,-0.29455686,0.4908126,2.0127144,-0.107153535,0.5389439,4.989554,0.09936965,-0.15106572,1.8531152,-0.87390023,1.8358276,-6.267117,0.35864988,1.339798,1.5152512,0.8876661,-0.07870325,-1.1478747,1.219792
-0.9934916,0.37868705,-0.06014481,0.349895,2.7610471,0.14109525,0.38026646,4.41352,0.25552678,-0.198435,2.1505742,-0.6336145,1.4286337,-6.6079235,-0.011226919,0.9627912,-0.45468888,0.52298063,-0.24782352,-3.252353,0.8956281
-0.749725,0.48455185,0.048429333,0.24453749,3.495046,0.381788,0.25360408,3.7491653,0.38758978,-0.116422266,2.6061811,-0.19757107,0.91803277,-6.7013764,-0.37304774,0.5532912,-2.4509723,0.0643068,-0.009861554,-5.17755,0.4485441
-0.5423183,0.53985757,0.055494957,0.17153822,4.1190686,0.5988036,0.16368586,3.0761204,0.49575332,0.10430838,3.2536619,0.30089805,0.41152123,-6.488642,-0.7213588,0.19392833,-4.3001695,-0.44671956,0.5477908,-6.7797556,-0.049550455
-0.3903104,0.59071726,0.069488555,0.116788015,4.602311,0.7835479,0.10317691,2.4363668,0.581412,0.41111264,4.1219406,0.78606385,-0.022782568,-5.986416,-1.0624293,-0.08379084,-5.8937845,-0.96914846,1.1668719,-7.982034,-0.53456146
-0.25657076,0.65662,0.17905954,0.067111574,4.9430304,0.9498787,0.06373345,1.849544,0.6633205,0.6935575,5.1995378,1.1789625,-0.34406582,-5.262225,-1.3778018,-0.27876624,-7.1906385,-1.443992,1.5586603,-8.788673,-0.9670646
-0.12015964,0.7259329,0.37264574,0.024881033,5.1470404,1.1085358,0.04952259,1.3316913,0.7546662,0.8366236,6.403686,1.381033,-0.5113549,-4.3840466,-1.6131672,-0.3826577,-8.182418,-1.7959638,1.5573604,-9.260548,-1.3432804
0.001083538,0.7635701,0.5759931,0.003473139,5.2199144,1.248067,0.06983244,0.9193003,0.84755945,0.7893863,7.5533533,1.3326435,-0.5042547,-3.4033375,-1.7170216,-0.3918103,-8.88137,-1.9743963,1.1734037,-9.497464,-1.6963291
0.079103336,0.72683847,0.7318555,0.016360484,5.1436086,1.338703,0.12344914,0.69831735,0.92375284,0.6069395,8.382116,1.0921617,-0.3559048,-2.3688312,-1.682419,-0.33722022,-9.322359,-1.9881166,0.550917,-9.606802,-2.0610788
0.09648027,0.58895427,0.8171795,0.074184656,4.8435373,1.3480599,0.19449173,0.7953695,0.9747978,0.42625478,8.625655,0.84175915,-0.14090015,-1.3328248,-1.5435339,-0.275432,-9.543606,-1.8898857,-0.10792087,-9.638959,-2.4061794
0.044316556,0.3532186,0.81879073,0.18222222,4.2108126,1.2536453,0.25847003,1.3148984,1.007217,0.3677271,8.190797,0.7724329,0.06845558,-0.34520766,-1.3402048,-0.25077552,-9.550634,-1.7302713,-0.6199231,-9.548095,-2.5970771
-0.075076744,0.04966521,0.7359238,0.3262671,3.2021806,1.0490038,0.28651306,2.2390456,1.0266583,0.4243229,7.292628,0.9198815,0.22511615,0.5516957,-1.0938003,-0.2765782,-9.298866,-1.5290335,-0.88952285,-9.232067,-2.4530888
-0.23067476,-0.27337596,0.60104597,0.4599565,1.9166056,0.74232715,0.24656992,3.3939369,1.019584,0.4483857,6.3953667,1.1194162,0.29872367,1.3186222,-0.8025019,-0.34731743,-8.708347,-1.2718216,-0.9421618,-8.610018,-1.8650382
-0.3514939,-0.55424535,0.47293413,0.51552105,0.5555871,0.35298717,0.11096435,4.525777,0.954319,0.27447695,5.9231057,1.1526436,0.2614677,1.9183663,-0.44852832,-0.45869142,-7.7081804,-0.9237738,-0.89361376,-7.6591263,-0.8892623
-0.35115886,-0.73489046,0.4017123,0.4363086,-0.6933587,-0.089724496,-0.1292022,5.429874,0.8021514,-0.14324775,5.9852686,0.92957324,0.09458537,2.3217525,-0.015950952,-0.6118477,-6.289319,-0.45693123,-0.87254,-6.4028206,0.24687868
-0.1850333,-0.79487467,0.39725357,0.20888092,-1.7400584,-0.54467833,-0.45166117,6.019956,0.5605644,-0.709034,6.350631,0.5261926,-0.18605478,2.5221193,0.4804132,-0.7985038,-4.5325418,0.111354664,-0.94528675,-4.8980618,1.2274082
0.112897694,-0.7709988,0.4223054,-0.13554405,-2.5873663,-0.9628293,-0.8104368,6.308449,0.25588945,-1.2754393,6.6468835,0.08716251,-0.5162212,2.5389454,0.971692,-0.9883008,-2.5780358,0.6924175,-1.092694,-3.27636,1.7585344
0.45421374,-0.7326724,0.4181842,-0.54938096,-3.2707663,-1.3001077,-1.1605061,6.334674,-0.07605854,-1.7444715,6.5876184,-0.28168496,-0.8043141,2.4091206,1.3434994,-1.1359241,-0.56051147,1.1432595,-1.2478263,-1.781217,1.6733905
0.7608981,-0.72899127,0.35779136,-0.99346733,-3.8218734,-1.5283401,-1.4751542,6.108029,-0.4069182,-2.0990329,6.0842276,-0.5507993,-0.9758007,2.1801183,1.4799954,-1.2040676,1.3996881,1.325361,-1.346483,-0.6824798,1.0393314
1.0107625,-0.7530918,0.280724,-1.4301075,-4.28606,-1.6348886,-1.736359,5.6018367,-0.71142083,-2.354735,5.2091804,-0.7390343,-1.0073297,1.9198895,1.3230336,-1.1820602,3.13768,1.1758583,-1.3486109,-0.07032428,0.20467411
1.2244442,-0.7526857,0.24457213,-1.802301,-4.7385836,-1.6144664,-1.9140943,4.7751193,-0.95335156,-2.4891465,4.077529,-0.8659291,-0.9282152,1.7318213,0.9007097,-1.0863453,4.4330854,0.73798794,-1.2361455,0.22880015,-0.3692467
1.4072205,-0.6775379,0.22444776,-2.03229,-5.2434573,-1.4665296,-1.9624094,3.5992558,-1.0858387,-2.4249487,2.7428722,-0.92501014,-0.791434,1.7392603,0.31012055,-0.9443553,5.1263175,0.13461912,-1.0140839,0.4837646,-0.45194367
1.5077064,-0.518052,0.118032925,-2.0469615,-5.7882156,-1.1990759,-1.8392196,2.0819116,-1.0667622,-2.0991826,1.1818739,-0.8833587,-0.63945913,2.0259285,-0.3182645,-0.7783807,5.232133,-0.48194173,-0.71811074,0.84527755,-0.21625444
1.4441574,-0.30442896,-0.10476706,-1.8151355,-6.265262,-0.83498234,-1.537011,0.29578093,-0.87855744,-1.5624334,-0.6296684,-0.70066684,-0.48982173,2.5644464,-0.846746,-0.60239923,4.9182925,-0.9666928,-0.4109035,1.3303853,-0.017337188
1.1814048,-0.082693346,-0.3185346,-1.373864,-6.521633,-0.41037244,-1.1026634,-1.616841,-0.53785825,-0.9910815,-2.633279,-0.3586881,-0.3420747,3.220523,-1.1633658,-0.42781827,4.383363,-1.2149862,-0.15798184,1.934092,-0.05770572
0.7872721,0.103877984,-0.3731133,-0.8259702,-6.439703,0.03361892,-0.6295644,-3.477745,-0.0937837,-0.57450926,-4.671931,0.10846313,-0.19291274,3.8448708,-1.2291186,-0.26642078,3.7676654,-1.2006438,0.005795851,2.6799345,-0.30016243
0.39987794,0.22392291,-0.25904572,-0.30141664,-5.9909024,0.45839113,-0.21917781,-5.127825,0.38395616,-0.39498955,-6.552548,0.61250526,-0.044005327,4.361806,-1.1023426,-0.1272993,3.1341953,-0.99168694,0.09490538,3.5896497,-0.6115729
0.12195015,0.26658082,-0.09156226,0.09840602,-5.231232,0.8290332,0.06665598,-6.4669113,0.82122004,-0.41436258,-8.1269245,1.049745,0.09956824,4.7648053,-0.90573895,-0.013710259,2.4921875,-0.7157682,0.1643229,4.6508737,-0.8981387
-0.04707453,0.24431299,0.017928045,0.3317046,-4.2633123,1.1163611,0.22410467,-7.4684443,1.1594055,-0.53187364,-9.33408,1.3630859,0.22959454,5.0734544,-0.76347834,0.07037121,1.8254772,-0.49910593,0.28607464,5.8066134,-1.1137904
-0.16790435,0.18485224,0.025186116,0.40327644,-3.2003295,1.304226,0.28336433,-8.169364,1.3716072,-0.6280433,-10.183013,1.5808598,0.32970738,5.3117876,-0.75325304,0.11027051,1.125274,-0.41986558,0.5168973,6.9365587,-1.2096586
-0.27257785,0.120694876,-0.06892203,0.33461472,-2.1443202,1.3930389,0.2740128,-8.641076,1.4653213,-0.59525114,-10.71289,1.8008139,0.37389648,5.484909,-0.8827169,0.08430042,0.44370905,-0.48942026,0.84365964,7.840727,-1.141516
-0.3355122,0.083254226,-0.24343525,0.15395181,-1.1699504,1.3961962,0.2167239,-8.949349,1.4710649,-0.38477778,-10.965725,2.1185634,0.33838886,5.528339,-1.0880393,-0.0128916,-0.067060396,-0.658883,1.1411381,8.269771,-0.9443768
-0.31534484,0.09183,-0.45741087,-0.0986676,-0.31566048,1.3382051,0.13438287,-9.122558,1.4313459,-0.04544081,-10.971405,2.542932,0.21411921,5.3017483,-1.2632399,-0.15394324,-0.19152388,-0.8501539,1.2294742,8.040658,-0.7474916
-0.20763838,0.13687178,-0.65257484,-0.36877438,0.41215795,1.2538654,0.05929194,-9.140496,1.3912239,0.29907295,-10.731441,2.9548736,0.009649308,4.6765695,-1.316871,-0.28911528,0.21855848,-1.000606,1.0320144,7.1873455,-0.6632436
-0.052576236,0.17812021,-0.7753218,-0.5920128,1.0166187,1.1607642,0.028146973,-8.935279,1.3647456,0.5335482,-10.211049,3.1338713,-0.25011832,3.6286364,-1.2115498,-0.36649284,1.1498636,-1.0897686,0.669303,6.0260305,-0.6843912
0.099212155,0.17094521,-0.8044764,-0.7008955,1.4900542,1.0172278,0.072452486,-8.40526,1.2920718,0.6364433,-9.357185,2.8500426,-0.5192887,2.2461295,-0.9551101,-0.34095895,2.4474423,-1.1243826,0.36618268,5.0355372,-0.720343
0.21195239,0.09514942,-0.76158786,-0.6401682,1.8194987,0.72984636,0.20930962,-7.457752,1.0540923,0.6914539,-8.136606,1.9907554,-0.72470915,0.68757045,-0.5678051,-0.17585988,3.8967192,-1.1001115,0.28113884,4.620118,-0.6980481
0.2524091,-0.041047364,-0.69295305,-0.39370188,2.0191967,0.23858823,0.43239382,-6.0752826,0.57101136,0.80501914,-6.568555,0.6771699,-0.77652156,-0.84683084,-0.06998725,0.14517063,5.268459,-0.9809633,0.43322268,4.9015045,-0.5958757
0.17675877,-0.21585353,-0.6403725,-0.006204362,2.1335742,-0.4050986,0.7059061,-4.3490987,-0.10782658,1.002553,-4.7400584,-0.6882614,-0.60268056,-2.1573484,0.502763,0.6027356,6.3547397,-0.7216315,0.7611405,5.682284,-0.40951753
-0.041314594,-0.40471917,-0.62157184,0.4221446,2.189589,-1.0519522,0.96831095,-2.4379086,-0.81561846,1.1990597,-2.8067122,-1.5395813,-0.19388953,-3.127922,1.0827248,1.1366577,7.0264554,-0.31637084,1.209207,6.585444,-0.1286349
-0.36904493,-0.57885164,-0.62632537,0.7752206,2.1491055,-1.5320836,1.155038,-0.4889004,-1.352878,1.2713847,-1.0052419,-1.4812205,0.383396,-3.7851746,1.5805757,1.6634012,7.2657223,0.18022649,1.7313821,7.2549086,0.25061187
-0.717773,-0.7007027,-0.6249769,0.9745538,1.9356978,-1.724786,1.2312871,1.4014568,-1.5707521,1.1674533,0.36963752,-0.65078485,1.0227525,-4.2609286,1.9222145,2.1077442,7.1205425,0.6852859,2.2179773,7.4780035,0.7053639
-1.0105438,-0.7281616,-0.58388484,1.0115359,1.5343599,-1.5958239,1.2074233,3.1405404,-1.4230769,0.9408203,1.0980483,0.2993792,1.6323045,-4.695641,2.0777285,2.4304745,6.634467,1.1330546,2.4728646,7.20742,1.1861458
-1.2482572,-0.6329485,-0.4800906,0.934408,1.0756221,-1.2099228,1.1194768,4.5675535,-0.9878753,0.6788974,1.2326128,0.71447295,2.1549377,-5.1658077,2.0571978,2.6275494,5.8263125,1.4848361,2.3225496,6.506012,1.632673
-1.4728339,-0.42428523,-0.30425858,0.8036917,0.80006313,-0.7070385,0.9948704,5.4757137,-0.43770257,0.42542818,1.1127896,0.4462798,2.5382173,-5.670589,1.8867258,2.6934874,4.7042303,1.7089077,1.7671068,5.445334,1.9779477
-1.6455767,-0.15749094,-0.058170304,0.65398,0.8963365,-0.2403742,0.8374934,5.7579646,0.04281704,0.18787976,1.108284,-0.14878643,2.6970127,-6.158106,1.5952691,2.5844958,3.2817278,1.7688464,1.0199025,4.01956,2.140252
-1.6228865,0.09137152,0.22882521,0.4922977,1.3580403,0.0890819,0.64439243,5.5045443,0.3414849,-0.014414254,1.3542867,-0.6073949,2.5405157,-6.5521965,1.2176893,2.2429764,1.6074059,1.6381279,0.39529842,2.1895056,2.0433457
-1.311606,0.27124557,0.47654733,0.3275161,1.9848081,0.25764784,0.43370652,4.9279737,0.4460583,-0.1456378,1.7504061,-0.71140486,2.0658214,-6.756732,0.8030489,1.6832855,-0.17406808,1.3304716,0.122130394,0.062984586,1.6786003
-0.8067942,0.37528583,0.58212394,0.18668626,2.4967034,0.2993683,0.24771662,4.203072,0.4135474,-0.1876272,2.1103952,-0.5424752,1.4092876,-6.643455,0.41415104,1.0357195,-1.7754706,0.9160424,0.21210131,-1.9734575,1.1451405
-0.3220966,0.41428435,0.50722504,0.094978,2.6612384,0.26694557,0.12191127,3.4009736,0.31789815,-0.1591772,2.2602382,-0.3036233,0.7769384,-6.071273,0.113078475,0.4769873,-2.827513,0.5031948,0.47385195,-3.370153,0.6093361
-0.013025602,0.39015427,0.32333428,0.050937623,2.3918152,0.20296642,0.05778883,2.5451677,0.21330018,-0.10115314,2.0874615,-0.13097423,0.3205979,-4.988002,-0.062619016,0.11827462,-3.0698457,0.1902887,0.66039973,-3.7392893,0.21264823
0.10359705,0.3086131,0.14666194,0.03257322,1.7927475,0.13407259,0.030913902,1.6976517,0.12661548,-0.04934221,1.6161135,-0.0457689,0.07564356,-3.5550714,-0.118922114,-0.039764594,-2.5618336,0.018725825,0.6408781,-3.1442058,0.004578345
0.10092279,0.19933712,0.04216296,0.021384623,1.1039792,0.07573555,0.018110756,0.972347,0.065693416,-0.018281566,1.023773,-0.01407817,-0.012499372,-2.1291184,-0.099752985,-0.06821121,-1.6831974,-0.036729198,0.4611849,-2.0706131,-0.05594549
